Name,Liver_DSC,kidney_DSC,Spleen_DSC,Pancreas_DSC,Liver_NSD,kidney_NSD,Spleen_NSD,Pancreas_NSD
ABD_001.nii.gz,0.9838,0.9807,0.9828,0.8734,0.9149,0.9842,1.0,0.918
ABD_002.nii.gz,0.9807,0.9813,0.9886,0.7886,0.8997,0.9903,0.9998,0.8542
ABD_003.nii.gz,0.9785,0.6738,0.9628,0.8893,0.8352,0.5112,0.9321,0.9402
ABD_004.nii.gz,0.9811,0.97,0.9463,0.8979,0.931,0.9786,0.8973,0.9682
ABD_005.nii.gz,0.9905,0.9763,0.992,0.8443,0.966,0.9711,1.0,0.8837
ABD_006.nii.gz,0.9845,0.9083,0.9856,0.8595,0.9123,0.7706,0.9903,0.9456
ABD_007.nii.gz,0.981,0.9818,0.9843,0.7411,0.8952,0.9924,1.0,0.7995
ABD_008.nii.gz,0.9878,0.9782,0.9893,0.8517,0.9569,0.9869,1.0,0.9282
ABD_009.nii.gz,0.987,0.9774,0.9715,0.8511,0.9571,0.9868,0.9499,0.9251
ABD_010.nii.gz,0.9895,0.9798,0.9892,0.8356,0.9659,0.98,1.0,0.9192
ABD_011.nii.gz,0.9892,0.981,0.9719,0.8608,0.9873,0.9916,0.9897,0.8874
ABD_012.nii.gz,0.9922,0.9676,0.9891,0.854,0.9811,0.9542,0.9992,0.9127
ABD_013.nii.gz,0.9757,0.9473,0.9748,0.8719,0.91,0.9454,0.9995,0.8938
ABD_014.nii.gz,0.9884,0.9595,0.9658,0.7516,0.8821,0.9461,0.9957,0.826
ABD_015.nii.gz,0.969,0.9713,0.9444,0.7623,0.823,0.9792,0.9883,0.8603
ABD_016.nii.gz,0.995,0.9667,0.9639,0.9028,0.9885,0.9722,0.9867,0.9506
ABD_017.nii.gz,0.9847,0.9639,0.9643,0.9038,0.9613,0.9586,0.998,0.9715
ABD_018.nii.gz,0.9828,0.9822,0.9705,0.8687,0.9115,0.9912,0.9952,0.9421
ABD_019.nii.gz,0.9851,0.9284,0.9112,0.8771,0.9796,0.9232,0.8901,0.9831
ABD_020.nii.gz,0.9797,0.9766,0.9576,0.7819,0.9191,0.9851,0.9501,0.8626
ABD_021.nii.gz,0.9825,0.8241,0.9697,0.8471,0.9332,0.635,0.9793,0.9287
ABD_022.nii.gz,0.8996,0.4934,0.8743,0.7848,0.6391,0.5232,0.8344,0.8495
ABD_023.nii.gz,0.986,0.9698,0.9638,0.8272,0.9395,0.9653,0.9552,0.9168
ABD_024.nii.gz,0.9905,0.9471,0.9591,0.9151,0.9685,0.9348,0.9732,0.9686
